nome,autor,editora,resumo,isbn,categoria,numero_paginas,exemplar,capa
Felicidade,Mario Sergio Cortella / Leandro Karnal / Luis Felipe Pondé,Planeta do Brasil,"O livro é resultado do debate entre Cortella, Karnal e Pondé em comemoração aos 15 anos da Editora Planeta no Brasil, realizado em maio de 2018. Durante uma hora e meia, os três discutiram o que é felicidade, o que ela significa, que caminhos podem nos levar a sermos pessoas mais felizes. Como sempre fazem, citaram outros filósofos e pensadores, deram exemplos pessoais e terminaram mostrando que ser feliz é possível – não o tempo todo, mas é possível para todos.",978-85-42216-81-3,Autoajuda,160,978-85-42216-81-3,https://www.publishnews.com.br/estaticos/uploads/2019/09/y2VjMX9oEycasaVH5J5hYoqkPIlgI6EkNAs8anhIK4oA0BNunMVofg87v16NrMStgpUH9NYL9Qby81Bf.png
Sapiens ( edição de bolso),Yuval Noah Harari,L&PM POCKET,"O que possibilitou ao Homo sapiens subjugar as demais espécies? O que nos torna capazes das mais belas obras de arte, dos avanços científicos mais impensáveis e das mais horripilantes guerras?Nossa capacidade imaginativa. Somos a única espécie que acredita em coisas que não existem na natureza, como Estados, dinheiro e direitos humanos.",978-85-25434-61-6,Não ficção,592,978-85-25434-61-6,https://www.publishnews.com.br/estaticos/uploads/2018/07/QluJmpbVN0iJ3rVudJPXkg8Kwr8MfiMgxCwUBCRiFIiKJNVVU262QSU5KDrbg8rJJz4DQb4bQsM7CR4P.jpg
Desperte a sua vitória,William Sanches,Luz da Serra,"Como seria ter uma vida muito melhor do que a que você tem hoje? E se você se livrasse das correntes que te prendem e te impedem de avançar? Imagine acabar com a ansiedade, deixar para trás o fluxo da escassez e viver a verdadeira prosperidade.",978-85-64463-91-2,Autoajuda,224,978-85-64463-91-2,https://www.publishnews.com.br/estaticos/uploads/2020/06/18C1b41uZDx5beGPPelyLwtHZ01KMut7ZWXz3z7Y2oEUPo2Db3yeNbX0CseTpkN8FwbZejv4ARXI8ilP.jpg
DNA da cocriação,Elainne Ourives,Gente,"O DNA da Cocriação é o Eu Holográfico®, que alguns chamam de “eu gêmeo” ou eu quântico. Seu eu ideal, sintonizado na frequência vibracional da harmonia desde o início da sua criação como consciência. Você consegue acessá-lo quando entra em coerência cardíaca harmônica, alinhando mente, coração e corpo. Ele rompe a barreira de espaço/tempo e pode trazer todas as respostas e soluções diretamente do futuro.",978-85-45203-86-5,Autoajuda,288,978-85-45203-86-5,https://www.publishnews.com.br/estaticos/uploads/2020/06/DTj12rhPYSWxf0PliiYery8EeiMydwQvfwv26z8Ju2YCRHl20aPviay6HndKl1niVTSqC8OueAOYoEPF.jpg
Mais esperto que o diabo,Napoleon Hill,Citadel,"Escrito em 1938, após uma das maiores crises econômicas, e precedendo a Segunda Guerra Mundial, este livro não somente é uma fonte de inspiração e coragem, mas deve ser considerado um manual para todas aquelas pessoas que desejam ser mais espertas que seus medos, problemas e limitações, pois, como o próprio Hill fala - em toda adversidade existe uma semente de benefício equivalente. ",978-85-68014-00-4,Autoajuda,200,978-85-68014-00-4,https://www.publishnews.com.br/estaticos/uploads/2021/07/Vgzr5F4Gh4Y0HTGeYaoSimsdVz8uJPebAWx397qktmYwr00d2YDOElgtMJ9QoFAT9LtGKTA3keBzzTDd.jpg
Box Harry Potter,J. K. Rowling,Rocco,A série Harry Potter chega às prateleiras em mais uma edição de colecionador. Os sete livros da saga criada por J. K. Rowling - que acompanha a jornada do adorado aprendiz de bruxo contra o maléfico Voldemort - ganham novas capas e novas ilustrações e vêm num box exclusivo.,978-85-32512-94-9,Infantojuvenil,3.096,978-85-32512-94-9,https://www.publishnews.com.br/estaticos/uploads/2016/06/ZVZXGtmVkxXbcrtLVuFWHaKZ1hH6EcokVkhdmp1IZjiGVnULwrGvfD4UegxdnjfAG7kP5Uh17BFPMyGT.jpg
Mulheres que correm com os lobos (capa dura),Clarissa Pinkola Estes,Rocco,"Clássico dos estudos sobre o sagrado feminino e o feminismo, o livro Mulheres que correm com os lobos é o primeiro de uma série de longsellers da Rocco a ganhar edição com novo projeto gráfico e capa dura.",978-85-32529-78-7,Não ficção,576,978-85-32529-78-7,https://www.publishnews.com.br/estaticos/uploads/2018/12/nCxf8cyh2k3HhDeb2nFf52XRbR5AJ4WRr6FaZ4XIELrSr0kEGpwxoc2YCbdYRlLp1t7OvWBQiSXbrZnm.jpg
Do mil ao milhão,Thiago Nigro,HarperCollins,"Em seu primeiro livro, Thiago Nigro, criador da plataforma O Primo Rico, ensina aos leitores os três pilares para atingir a independência financeira: gastar bem, investir melhor e ganhar mais. Por meio de dados e de sua própria experiência como investidor e assessor, Nigro mostra que a riqueza é possível para todos – basta estar disposto a aprender e se dedicar.",978-85-95083-27-1,Negócios,192,978-85-95083-27-1,https://www.publishnews.com.br/estaticos/uploads/2018/12/r45liYDuqOHQRJlKyhGi8KtfeXhwsr60hzkrN1xIHmnI8hyJUJfziDKooYi22JQfFTdopHRumlqknJIq.jpg
A cantiga dos pássaros e das serpentes,Suzanne Collins,Rocco Jovens Leitores,"Edição contendo dois marcadores.É a manhã do dia da colheita que iniciará a décima edição dos Jogos Vorazes. Na Capital, o jovem de dezoito anos Coriolanus Snow se prepara para sua oportunidade de glória como um mentor dos Jogos. A outrora importante casa Snow passa por tempos difíceis e o destino dela depende da pequena chance de Coriolanus ser capaz de encantar, enganar e manipular seus colegas estudantes para conseguir mentorar o tributo vencedor. ",978-65-56670-05-8,Infantojuvenil,576,978-65-56670-05-8,https://www.publishnews.com.br/estaticos/uploads/2020/05/tt34CUfqlnS5zB92IdqEz9wuRx8OyOPg9F8Yu8cihde5DAsUOoPbNod1ThrOguOs8FLYxBFhoXRQqWbi.jpg
O milagre da manhã,Hal Elrod,BestSeller,"Hal Elrod explica os benefícios de acordar cedo e desenvolver todo o nosso potencial e as nossas habilidades. O Milagre da manhã permite que o leitor alcance níveis de sucesso jamais imaginados, tanto na vida pessoal quanto profissional. A Mudança de hábitos e a nova rotina matinal proposta por Hal vai proporcionar melhorias significativas na saúde, na felicidade, nos relacionamentos, nas finanças, na espiritualidade ou quaisquer outras áreas que necessitem ser aprimoradas.",978-85-76849-94-0,Autoajuda,196,978-85-76849-94-0,https://www.publishnews.com.br/estaticos/uploads/2018/02/A3toxUAg57K2dnqZ4yaxgV8QSRulhgPyNuYHFzaNXfcOFLYtqsy3qFnYAWN84mOubxsw7RqP7hglyrjr.jpg
A sutil arte de ligar o foda-se,Mark Manson,Intrínseca,"Mark Manson usa toda a sua sagacidade de escritor e seu olhar crítico para propor um novo caminho rumo a uma vida melhor, mais coerente com a realidade e consciente dos nossos limites. E ele faz isso da melhor maneira. Como um verdadeiro amigo, Mark se senta ao seu lado e diz, olhando nos seus olhos: você não é tão especial. Ele conta umas piadas aqui, dá uns exemplos inusitados ali, joga umas verdades na sua cara e pronto, você já se sente muito mais alerta e capaz de enfrentar esse mundo cão.",978-85-51002-49-0,Autoajuda,224,978-85-51002-49-0,https://www.publishnews.com.br/estaticos/uploads/2017/11/jP6T6kjLLbNOzMJTDuDlFOhovDSzHZUtxHb7PCzHRmA2AnysA7y8PnS031mhbJcl9c1JRa8T2Z8NjQFA.jpg
Pequeno manual antirracista,Djamila Ribeiro,Companhia das Letras,"Neste pequeno manual, a filósofa e ativista Djamila Ribeiro trata de temas como atualidade do racismo, negritude, branquitude, violência racial, cultura, desejos e afetos. Em onze capítulos curtos e contundentes, a autora apresenta caminhos de reflexão para aqueles que queiram aprofundar sua percepção sobre discriminações racistas estruturais e assumir a responsabilidade pela transformação do estado das coisas.",978-85-35932-87-4,Não ficção,136,978-85-35932-87-4,https://www.publishnews.com.br/estaticos/uploads/2019/11/wvVgow95BkYqyQnbCz5orF8V8iWGhRz4KHQja0EYyahoAOnz4pQygN6M14bKg90jTVHIfniMbnu9By4n.jpg
1984,George Orwell,Companhia das Letras,"Winston, herói de 1984, último romance de George Orwell, vive aprisionado na engrenagem totalitária de uma sociedade completamente dominada pelo Estado, onde tudo é feito coletivamente, mas cada qual vive sozinho. Ninguém escapa à vigilância do Grande Irmão, a mais famosa personificação literária de um poder cínico e cruel ao infinito, além de vazio de sentido histórico.",978-85-35914-84-9,Ficção,416,978-85-35914-84-9,https://www.publishnews.com.br/estaticos/uploads/2016/12/puDT0pqdIM4GWYgSjWSIOMdrkxceqAudbz4bqePpKjr14ZNiVDJrJEmEodCGz7abQeYJVgPLsTwfzuCn.jpg
O poder da autorresponsabilidade,Paulo Vieira,Gente,"Muitas pessoas têm consciência de que precisam assumir as rédeas da própria vida, porém não sabem como fazer isso na prática. Este livro traz ao leitor o conceito de autorresponsabilidade. Trata-se de um manual que apresenta a metodologia das 6 leis para a conquista da autorresponsabilidade, de modo que o leitor assuma o comando de sua vida. Aplicando esse conceito, você será capaz de levar alta performance à vida pessoal e profissional, saindo de um estado não satisfatório para uma vida de abundância e de sucesso.",978-85-45202-21-9,Negócios,160,978-85-45202-21-9,https://www.publishnews.com.br/estaticos/uploads/2018/01/AbONUvGHIy8HqrjYtdB2BOvF323DYdrgEvQi5dXk3D2hpJSKrKjjyjUQLgpgG2lP4SxZG1AzKZHegCzT.jpg
Os segredos da mente milionária,T. Harv Eker,Sextante,"Se as finanças andam na corda bamba, talvez seja hora de refletir sobre o que T. Harv Eker chama de ""o seu modelo de dinheiro"" – um conjunto de crenças que todos alimentamos desde a infância e que molda o destino financeiro, quase sempre levando para uma situação difícil. Neste livro, Eker mostra como substituir uma mentalidade destrutiva – que o leitor talvez nem perceba que tem – pelos ""arquivos de riqueza"", 17 modos de pensar e agir que distinguem os ricos das demais pessoas. O autor também ensina um método eficiente de administrar o dinheiro. O leitor aprenderá a estabelecer sua remuneração pelos resultados que apresenta e não pelas horas que trabalha. Além disso, saberá como aumentar o seu patrimônio líquido – a verdadeira medida da riqueza.",978-85-75422-39-7,Negócios,176,978-85-75422-39-7,https://www.publishnews.com.br/estaticos/uploads/2015/08/flQqYuiyxm1OThx3kMyaVlegJFP98SPiBIeASQRjroLrR6Sh47nP2JAYg05VAjpOHBktd85lsxQf6PvK.jpg
O poder do hábito,Charles Duhigg,Objetiva,"Com base na leitura de centenas de artigos acadêmicos, entrevistas com mais de trezentos cientistas e executivos, além de pesquisas realizadas em dezenas de empresas, o repórter investigativo do New York Times Charles Duhigg elabora, em O poder do hábito, um argumento animador: a chave para se exercitar regularmente, perder peso, educar bem os filhos, se tornar uma pessoa mais produtiva, criar empresas revolucionárias e ter sucesso é entender como os hábitos funcionam. Transformá-los pode gerar bilhões e significar a diferença entre fracasso e sucesso, vida e morte. Duhigg conclui por que algumas pessoas e empresas têm tanta dificuldade em mudar, enquanto outras o fazem da noite para o dia. 
",978-85-39004-11-9,Autoajuda,408,978-85-39004-11-9,https://www.publishnews.com.br/estaticos/uploads/2015/08/SSD47DiXYZczBBE1UhKU68VrA4oTA6NAqe5Ic5C1TQhKgsEcy1Ch5BusqeN1UnCfhi4TqzETdEbcokXI.jpg
Minha história,Michelle Obama,Objetiva,"Em suas memórias, um trabalho de profunda reflexão e com uma narrativa envolvente, Michelle Obama convida os leitores a conhecer seu mundo, recontando as experiências que a moldaram — da infância na região de South Side, em Chicago, e os seus anos como executiva tentando equilibrar as demandas da maternidade e do trabalho, ao período em que passou no endereço mais famoso do mundo. Com honestidade e uma inteligência aguçada, ela descreve seus triunfos e suas decepções, tanto públicas quanto privadas, e conta toda a sua história, conforme a viveu — em suas próprias palavras e em seus próprios termos. Reconfortante, sábio e revelador, Minha história traz um relato íntimo e singular, de uma mulher com alma e consistência que desafiou constantemente as expectativas — e cuja história nos inspira a fazer o mesmo.",978-85-47000-64-6,Não ficção,448,978-85-47000-64-6,https://www.publishnews.com.br/estaticos/uploads/2018/11/WcmIMs4tTU8C6UgMk4pVctmBQbia82S1xE2EZpcdkEWHYkiH4oOfIyNTDOGXreagSy15PaVCzuZcgQ6I.jpg
Economia do desejo,Eduardo Moreira,Civilização Brasileira,"Por que o neoliberalismo não nos levará a uma sociedade mais justa?Depois dos livros Desigualdade e O que os donos do poder não querem que você saiba, em Economia do desejo, Eduardo Moreira revela por que considera insustentável economicamente a ideia de que o Estado deve se preocupar mais com a economia do que com o atendimento das necessidades básicas dos cidadãos",978-85-20014-14-1,Não ficção,96,978-85-20014-14-1,https://www.publishnews.com.br/estaticos/uploads/2020/05/LnZ8rqDzkIt5IpZBkLOMrjrJJp1iOqugM45796OsEGCUKOMQZNWz8XhxwJUKkxWx0uBsw5fOAshDPujc.jpg
Quem pensa enriquece: o legado,Napoleon Hill,Citadel,"O clássico best-seller sobre o sucesso agora anotado e acrescido de exemplos modernos, comprovando que a filosofia da realização pessoal de Napoleon Hill permanece atual e ainda orienta aqueles que são bem-sucedidos. Um livro que vai mudar não só o que você pensa, vai mudar o modo como você pensa.",978-85-68014-54-7,Negócios,364,978-85-68014-54-7,https://www.publishnews.com.br/estaticos/uploads/2019/02/rMr7H9xgqLJvCmdZQys2gqGn0tleA5HcQybS16OOZVtAt4NNNDkI5VlAW3YXTxpjdynbR16cm00dpV0A.jpg
"Pai rico, pai pobre - Edição de 20 anos",Robert T. Kiyosak,Alta Books Editora,"Celebrando 20 anos como o livro n° 1 em finanças pessoais. A escola prepara as crianças para o mundo real? Essa é a primeira pergunta com a qual o leitor se depara neste livro. O recado é ousado e direto: boa formação e notas altas não bastam para assegurar o sucesso de alguém. O mundo mudou; a maioria dos jovens tem cartão de crédito, antes mesmo de concluir os estudos, e nunca teve aula sobre dinheiro, investimentos, juros etc.",978-85-50801-48-3,Negócios,336,978-85-50801-48-3,https://www.publishnews.com.br/estaticos/uploads/2017/08/tLitLuknHc31foyJmNjF3FQHbwpq4D4rcoRQIXAC4NfFvdrHan31V6lagNspmVVS3sLgWsVOhYUIOBlT.png
A revolução dos bichos,George Orwell,Companhia das Letras,"Escrita em plena Segunda Guerra Mundial e publicada em 1945 depois de ter sido rejeitada por várias editoras, essa pequena narrativa causou desconforto ao satirizar ferozmente a ditadura stalinista numa época em que os soviéticos ainda eram aliados do Ocidente na luta contra o eixo nazifascista.De fato, são claras as referências: o despótico Napoleão seria Stálin, o banido Bola-de-Neve seria Trotsky, e os eventos políticos - expurgos, instituição de um estado policial, deturpação tendenciosa da História - mimetizam os que estavam em curso na União Soviética.",978-85-35909-55-5,Ficção,156,978-85-35909-55-5,https://www.publishnews.com.br/estaticos/uploads/2016/12/m7BpsMTGQ6HyTToW0RZ3LWstCiZ6pCLGfiz38c4LYfAgGbJjberkt8frU4P6SPBtaMZBAQYxprGSa8Vf.jpg
Seja foda!,Caio Carneiro,Buzz,"Aposto que você quer, no final da sua vida, olhar para trás, bater no peito com o coração cheio de felicidade, sem falsa modéstia, com plena convicção e serenidade, e dizer: minha vida foi FODA. Mas calma, encontrar este livro é só o começo. Agora, você precisa levá-lo com você. Com ele, você vai aprender comportamentos e atitudes necessários para conquistar, em todos os aspectos da sua vida, resultados incríveis.",978-85-93156-29-8,Negócios,208,978-85-93156-29-8,https://www.publishnews.com.br/estaticos/uploads/2017/10/Qie8KitX4klj02vK6FmS4h4xID3TOs8dUVHQZG9TYVayIen3pvV24newzjUDQvTx0GltLkX6Dzr3LNlV.jpg
DNA da cocriação,Elainne Ourives,Gente,"O DNA da Cocriação é o Eu Holográfico®, que alguns chamam de “eu gêmeo” ou eu quântico. Seu eu ideal, sintonizado na frequência vibracional da harmonia desde o início da sua criação como consciência. Você consegue acessá-lo quando entra em coerência cardíaca harmônica, alinhando mente, coração e corpo. Ele rompe a barreira de espaço/tempo e pode trazer todas as respostas e soluções diretamente do futuro.",978-85-45203-86-5,Autoajuda,288,978-85-45203-86-5,https://www.publishnews.com.br/estaticos/uploads/2020/06/DTj12rhPYSWxf0PliiYery8EeiMydwQvfwv26z8Ju2YCRHl20aPviay6HndKl1niVTSqC8OueAOYoEPF.jpg
Decida vencer,Eduardo Volpato,Gente,"Eduardo Volpato traz, em seu livro Decida Vencer um método poderoso e eficaz para que você consiga criar um círculo de entendimento em sua vida e mude o que está travando o seu sucesso pessoal. ",978-85-45203-89-6,Negócios,208,978-85-45203-89-6,https://www.publishnews.com.br/estaticos/uploads/2020/04/obGDsUPO7NCTikZ4LsXm9BQ5uWFGlAJJt9xGOf2ketvvLFjKdCh9LmWqPyuXdB8e7nL0jadoDzzIvzqk.jpg
Mais esperto que o diabo,Napoleon Hill,Citadel,"Escrito em 1938, após uma das maiores crises econômicas, e precedendo a Segunda Guerra Mundial, este livro não somente é uma fonte de inspiração e coragem, mas deve ser considerado um manual para todas aquelas pessoas que desejam ser mais espertas que seus medos, problemas e limitações, pois, como o próprio Hill fala - em toda adversidade existe uma semente de benefício equivalente. ",978-85-68014-00-4,Autoajuda,200,978-85-68014-00-4,https://www.publishnews.com.br/estaticos/uploads/2021/07/Vgzr5F4Gh4Y0HTGeYaoSimsdVz8uJPebAWx397qktmYwr00d2YDOElgtMJ9QoFAT9LtGKTA3keBzzTDd.jpg
Do mil ao milhão,Thiago Nigro,HarperCollins,"Em seu primeiro livro, Thiago Nigro, criador da plataforma O Primo Rico, ensina aos leitores os três pilares para atingir a independência financeira: gastar bem, investir melhor e ganhar mais. Por meio de dados e de sua própria experiência como investidor e assessor, Nigro mostra que a riqueza é possível para todos – basta estar disposto a aprender e se dedicar.",978-85-95083-27-1,Negócios,192,978-85-95083-27-1,https://www.publishnews.com.br/estaticos/uploads/2018/12/r45liYDuqOHQRJlKyhGi8KtfeXhwsr60hzkrN1xIHmnI8hyJUJfziDKooYi22JQfFTdopHRumlqknJIq.jpg
Box Harry Potter,J. K. Rowling,Rocco,A série Harry Potter chega às prateleiras em mais uma edição de colecionador. Os sete livros da saga criada por J. K. Rowling - que acompanha a jornada do adorado aprendiz de bruxo contra o maléfico Voldemort - ganham novas capas e novas ilustrações e vêm num box exclusivo.,978-85-32512-94-9,Infantojuvenil,3.096,978-85-32512-94-9,https://www.publishnews.com.br/estaticos/uploads/2016/06/ZVZXGtmVkxXbcrtLVuFWHaKZ1hH6EcokVkhdmp1IZjiGVnULwrGvfD4UegxdnjfAG7kP5Uh17BFPMyGT.jpg
O milagre da manhã,Hal Elrod,BestSeller,"Hal Elrod explica os benefícios de acordar cedo e desenvolver todo o nosso potencial e as nossas habilidades. O Milagre da manhã permite que o leitor alcance níveis de sucesso jamais imaginados, tanto na vida pessoal quanto profissional. A Mudança de hábitos e a nova rotina matinal proposta por Hal vai proporcionar melhorias significativas na saúde, na felicidade, nos relacionamentos, nas finanças, na espiritualidade ou quaisquer outras áreas que necessitem ser aprimoradas.",978-85-76849-94-0,Autoajuda,196,978-85-76849-94-0,https://www.publishnews.com.br/estaticos/uploads/2018/02/A3toxUAg57K2dnqZ4yaxgV8QSRulhgPyNuYHFzaNXfcOFLYtqsy3qFnYAWN84mOubxsw7RqP7hglyrjr.jpg
A sutil arte de ligar o foda-se,Mark Manson,Intrínseca,"Mark Manson usa toda a sua sagacidade de escritor e seu olhar crítico para propor um novo caminho rumo a uma vida melhor, mais coerente com a realidade e consciente dos nossos limites. E ele faz isso da melhor maneira. Como um verdadeiro amigo, Mark se senta ao seu lado e diz, olhando nos seus olhos: você não é tão especial. Ele conta umas piadas aqui, dá uns exemplos inusitados ali, joga umas verdades na sua cara e pronto, você já se sente muito mais alerta e capaz de enfrentar esse mundo cão.",978-85-51002-49-0,Autoajuda,224,978-85-51002-49-0,https://www.publishnews.com.br/estaticos/uploads/2017/11/jP6T6kjLLbNOzMJTDuDlFOhovDSzHZUtxHb7PCzHRmA2AnysA7y8PnS031mhbJcl9c1JRa8T2Z8NjQFA.jpg
Pequeno manual antirracista,Djamila Ribeiro,Companhia das Letras,"Neste pequeno manual, a filósofa e ativista Djamila Ribeiro trata de temas como atualidade do racismo, negritude, branquitude, violência racial, cultura, desejos e afetos. Em onze capítulos curtos e contundentes, a autora apresenta caminhos de reflexão para aqueles que queiram aprofundar sua percepção sobre discriminações racistas estruturais e assumir a responsabilidade pela transformação do estado das coisas.",978-85-35932-87-4,Não ficção,136,978-85-35932-87-4,https://www.publishnews.com.br/estaticos/uploads/2019/11/wvVgow95BkYqyQnbCz5orF8V8iWGhRz4KHQja0EYyahoAOnz4pQygN6M14bKg90jTVHIfniMbnu9By4n.jpg
Os segredos da mente milionária,T. Harv Eker,Sextante,"Se as finanças andam na corda bamba, talvez seja hora de refletir sobre o que T. Harv Eker chama de ""o seu modelo de dinheiro"" – um conjunto de crenças que todos alimentamos desde a infância e que molda o destino financeiro, quase sempre levando para uma situação difícil. Neste livro, Eker mostra como substituir uma mentalidade destrutiva – que o leitor talvez nem perceba que tem – pelos ""arquivos de riqueza"", 17 modos de pensar e agir que distinguem os ricos das demais pessoas. O autor também ensina um método eficiente de administrar o dinheiro. O leitor aprenderá a estabelecer sua remuneração pelos resultados que apresenta e não pelas horas que trabalha. Além disso, saberá como aumentar o seu patrimônio líquido – a verdadeira medida da riqueza.",978-85-75422-39-7,Negócios,176,978-85-75422-39-7,https://www.publishnews.com.br/estaticos/uploads/2015/08/flQqYuiyxm1OThx3kMyaVlegJFP98SPiBIeASQRjroLrR6Sh47nP2JAYg05VAjpOHBktd85lsxQf6PvK.jpg
"Pai rico, pai pobre - Edição de 20 anos",Robert T. Kiyosak,Alta Books Editora,"Celebrando 20 anos como o livro n° 1 em finanças pessoais. A escola prepara as crianças para o mundo real? Essa é a primeira pergunta com a qual o leitor se depara neste livro. O recado é ousado e direto: boa formação e notas altas não bastam para assegurar o sucesso de alguém. O mundo mudou; a maioria dos jovens tem cartão de crédito, antes mesmo de concluir os estudos, e nunca teve aula sobre dinheiro, investimentos, juros etc.",978-85-50801-48-3,Negócios,336,978-85-50801-48-3,https://www.publishnews.com.br/estaticos/uploads/2017/08/tLitLuknHc31foyJmNjF3FQHbwpq4D4rcoRQIXAC4NfFvdrHan31V6lagNspmVVS3sLgWsVOhYUIOBlT.png
Mulheres que correm com os lobos (capa dura),Clarissa Pinkola Estes,Rocco,"Clássico dos estudos sobre o sagrado feminino e o feminismo, o livro Mulheres que correm com os lobos é o primeiro de uma série de longsellers da Rocco a ganhar edição com novo projeto gráfico e capa dura.",978-85-32529-78-7,Não ficção,576,978-85-32529-78-7,https://www.publishnews.com.br/estaticos/uploads/2018/12/nCxf8cyh2k3HhDeb2nFf52XRbR5AJ4WRr6FaZ4XIELrSr0kEGpwxoc2YCbdYRlLp1t7OvWBQiSXbrZnm.jpg
O poder do sangue de jesus,Raquel Carpenter,Angelus Editora,"Raquel Carpenter compartilha conosco seu testemunho pois após passar por uma grande tribulação, foi curada de uma grande enfermidade, que para todos era incurável. ",978-65-99142-50-5,Não ficção,164,978-65-99142-50-5,https://www.publishnews.com.br/estaticos/uploads/2020/07/kFDqK04jKJDdYaVix0lhSdoqRBljR5uLIie0HT3eHijYucuVK2EemSRBqROQuAYSYKUEo7IHT8NR1Y6H.jpg
O fim em doses homeopáticas,Igor Pires,Globo Alt,"Após o sucesso absoluto dos dois volumes de Textos cruéis demais para serem lidos rapidamente, Igor Pires retorna em mais uma coletânea inédita de textos poéticos, desta vez sobre as características das complexas fases que percorrem os relacionamentos. Dividido em quatro partes, O fim em doses homeopáticas explora de modo sensível o inevitável fim. ",978-65-80775-14-9,Ficção,304,978-65-80775-14-9,https://www.publishnews.com.br/estaticos/uploads/2020/04/Xeb4gr29u3BVZXMujlutXulSTmXnvECz1vW5PG8i4XUStPpjuXKVFjYwkl6zzXjtG7esTziohfe43hnB.jpg
O poder da autorresponsabilidade,Paulo Vieira,Gente,"Muitas pessoas têm consciência de que precisam assumir as rédeas da própria vida, porém não sabem como fazer isso na prática. Este livro traz ao leitor o conceito de autorresponsabilidade. Trata-se de um manual que apresenta a metodologia das 6 leis para a conquista da autorresponsabilidade, de modo que o leitor assuma o comando de sua vida. Aplicando esse conceito, você será capaz de levar alta performance à vida pessoal e profissional, saindo de um estado não satisfatório para uma vida de abundância e de sucesso.",978-85-45202-21-9,Negócios,160,978-85-45202-21-9,https://www.publishnews.com.br/estaticos/uploads/2018/01/AbONUvGHIy8HqrjYtdB2BOvF323DYdrgEvQi5dXk3D2hpJSKrKjjyjUQLgpgG2lP4SxZG1AzKZHegCzT.jpg
Mindset,Carol Dweck,Objetiva,"Carol S. Dweck, professora de psicologia na Universidade Stanford e especialista internacional em sucesso e motivação, desenvolveu, ao longo de décadas de pesquisa, um conceito fundamental: a atitude mental com que encaramos a vida, que ela chama de “mindset”, é crucial para o sucesso. O “mindset” não é um mero traço de personalidade, é a explicação de por que somos otimistas ou pessimistas, bem-sucedidos ou não. É um fator decisivo para que todo o nosso potencial seja explorado.",978-85-47000-24-0,Não ficção,328,978-85-47000-24-0,https://www.publishnews.com.br/estaticos/uploads/2017/02/5HP5wLKxVviJzbc4LUouqhyZuli999P7tLXjPIZ5UlPQSbLMTj5BsgdUiAtbjCRU23PuSuXZmwrgibYJ.jpg
O poder do hábito,Charles Duhigg,Objetiva,"Com base na leitura de centenas de artigos acadêmicos, entrevistas com mais de trezentos cientistas e executivos, além de pesquisas realizadas em dezenas de empresas, o repórter investigativo do New York Times Charles Duhigg elabora, em O poder do hábito, um argumento animador: a chave para se exercitar regularmente, perder peso, educar bem os filhos, se tornar uma pessoa mais produtiva, criar empresas revolucionárias e ter sucesso é entender como os hábitos funcionam. Transformá-los pode gerar bilhões e significar a diferença entre fracasso e sucesso, vida e morte. Duhigg conclui por que algumas pessoas e empresas têm tanta dificuldade em mudar, enquanto outras o fazem da noite para o dia. 
",978-85-39004-11-9,Autoajuda,408,978-85-39004-11-9,https://www.publishnews.com.br/estaticos/uploads/2015/08/SSD47DiXYZczBBE1UhKU68VrA4oTA6NAqe5Ic5C1TQhKgsEcy1Ch5BusqeN1UnCfhi4TqzETdEbcokXI.jpg
Seja foda!,Caio Carneiro,Buzz,"Aposto que você quer, no final da sua vida, olhar para trás, bater no peito com o coração cheio de felicidade, sem falsa modéstia, com plena convicção e serenidade, e dizer: minha vida foi FODA. Mas calma, encontrar este livro é só o começo. Agora, você precisa levá-lo com você. Com ele, você vai aprender comportamentos e atitudes necessários para conquistar, em todos os aspectos da sua vida, resultados incríveis.",978-85-93156-29-8,Negócios,208,978-85-93156-29-8,https://www.publishnews.com.br/estaticos/uploads/2017/10/Qie8KitX4klj02vK6FmS4h4xID3TOs8dUVHQZG9TYVayIen3pvV24newzjUDQvTx0GltLkX6Dzr3LNlV.jpg
A garota do lago,Charlie Donlea,Faro Editorial,"Summit Lake, uma pequena cidade entre montanhas, é esse tipo de lugar, bucólico e com encantadoras casas dispostas à beira de um longo trecho de água intocada. Duas semanas atrás, a estudante de direito Becca Eckersley foi brutalmente assassinada em uma dessas casas. Filha de um poderoso advogado, Becca estava no auge de sua vida. Atraída instintivamente pela notícia, a repórter Kelsey Castle vai até a cidade para investigar o caso. E enquanto descobre sobre as amizades de Becca, sua vida amorosa e os segredos que ela guardava, a repórter fica cada vez mais convencida de que a verdade sobre o que aconteceu com Becca pode ser a chave para superar as marcas sombrias de seu próprio passado.",978-85-62409-88-2,Ficção,296,978-85-62409-88-2,https://www.publishnews.com.br/estaticos/uploads/2019/04/o8HmV2jl1OLFJlkjT6qkTFADkYMEeZQ6gxYqaotYVj3B0QJ10S619PZtq6rs9pB9qvqs5Dv2yDwltjlJ.jpg
